Date,Open,High,Low,Close,Adj Close,Volume
2024-05-31,53.200001,53.700001,52.500000,52.900002,51.190102,65835077
2024-06-03,54.400002,54.599998,52.200001,52.500000,50.803028,64016115
2024-06-04,52.400002,52.500000,50.799999,51.200001,49.545052,59042687
2024-06-05,51.500000,51.799999,50.200001,50.500000,48.867676,43664796
2024-06-06,51.099998,51.299999,50.099998,50.599998,48.964443,33603748
2024-06-07,50.700001,50.700001,49.599998,49.650002,48.045151,35985498
2024-06-11,49.750000,50.099998,48.799999,48.799999,47.222626,30460888
2024-06-12,49.000000,49.250000,48.299999,48.799999,47.222626,27758297
2024-06-13,49.150002,50.500000,49.049999,50.099998,48.480602,40868388
2024-06-14,50.000000,50.500000,49.500000,49.799999,48.190300,30063116
2024-06-17,50.099998,50.799999,49.750000,50.500000,48.867676,25208458
2024-06-18,50.700001,50.799999,49.299999,49.400002,47.803234,42809276
2024-06-19,49.700001,50.400002,49.500000,49.500000,47.899998,35969782
2024-06-20,48.500000,48.799999,47.500000,47.950001,47.950001,59447876
2024-06-21,47.950001,48.349998,47.349998,48.099998,48.099998,51180715
2024-06-24,48.150002,48.250000,47.000000,47.000000,47.000000,43079296
2024-06-25,47.150002,47.599998,46.500000,46.799999,46.799999,40099296
2024-06-26,47.099998,47.150002,46.200001,46.400002,46.400002,37731351
2024-06-27,46.000000,47.500000,45.799999,46.950001,46.950001,46706571
2024-06-28,47.000000,47.450001,46.849998,46.849998,46.849998,31317963
2024-07-01,47.000000,48.150002,46.650002,47.450001,47.450001,30890132
2024-07-02,47.400002,47.400002,46.500000,46.799999,46.799999,26632530
2024-07-03,47.099998,47.400002,46.750000,47.299999,47.299999,13696339
2024-07-04,47.500000,47.799999,47.099998,47.099998,47.099998,14296532
2024-07-05,47.299999,47.799999,47.200001,47.299999,47.299999,16807707
2024-07-08,47.450001,47.450001,46.849998,47.150002,47.150002,20446334
2024-07-09,47.400002,47.549999,45.750000,45.750000,45.750000,44870637
2024-07-10,47.150002,48.599998,46.799999,46.799999,46.799999,81336313
2024-07-11,47.299999,48.500000,46.700001,47.700001,47.700001,45274905
2024-07-12,47.500000,48.099998,46.900002,47.700001,47.700001,26307679
2024-07-15,47.900002,47.950001,46.849998,47.250000,47.250000,24512938
2024-07-16,47.500000,47.650002,47.099998,47.349998,47.349998,15494721
2024-07-17,47.549999,47.900002,46.900002,46.900002,46.900002,24569750
2024-07-18,46.650002,47.349998,46.400002,47.099998,47.099998,24017601
2024-07-19,47.099998,47.400002,46.000000,46.200001,46.200001,25514278
2024-07-22,46.200001,46.450001,44.650002,46.200001,46.200001,36040524
2024-07-23,46.700001,47.500000,45.950001,46.000000,46.000000,31020697
2024-07-24,null,null,null,null,null,null
2024-07-25,46.000000,46.000000,46.000000,46.000000,46.000000,0
2024-07-26,45.000000,45.900002,44.849998,45.500000,45.500000,33599882
2024-07-29,46.000000,46.299999,44.349998,44.349998,44.349998,23427918
2024-07-30,44.349998,44.349998,43.000000,44.200001,44.200001,22628456
2024-07-31,44.000000,44.400002,43.599998,43.849998,43.849998,17213957
2024-08-01,44.500000,45.900002,44.500000,45.799999,45.799999,22470606
2024-08-02,44.650002,44.750000,44.200001,44.750000,44.750000,27090744
2024-08-05,43.250000,43.250000,40.299999,40.299999,40.299999,46165692
2024-08-06,41.000000,41.500000,38.299999,40.000000,40.000000,35248349
2024-08-07,40.150002,42.750000,40.150002,42.549999,42.549999,26393734
2024-08-08,42.150002,42.750000,41.799999,42.299999,42.299999,19925623
2024-08-09,43.049999,43.200001,41.849998,42.000000,42.000000,32289450
2024-08-12,42.500000,42.799999,42.049999,42.299999,42.299999,14981454
2024-08-13,42.650002,42.650002,42.000000,42.150002,42.150002,11813920
2024-08-14,42.650002,42.700001,42.099998,42.099998,42.099998,15530836
2024-08-15,42.500000,42.849998,42.299999,42.549999,42.549999,9952994
2024-08-16,43.049999,43.200001,42.700001,42.799999,42.799999,12005122
2024-08-19,42.900002,43.299999,42.599998,43.200001,43.200001,9917576
2024-08-20,43.349998,43.599998,43.150002,43.150002,43.150002,7720673
2024-08-21,43.200001,43.500000,42.799999,43.049999,43.049999,15110714
2024-08-22,43.349998,44.000000,43.099998,43.150002,43.150002,15892346
2024-08-23,43.250000,43.250000,42.400002,43.049999,43.049999,9547603
2024-08-26,43.099998,45.299999,43.099998,44.799999,44.799999,34922505
2024-08-27,45.000000,45.000000,44.250000,44.700001,44.700001,15643699
2024-08-28,44.950001,44.950001,44.250000,44.299999,44.299999,14126002
2024-08-29,43.700001,43.799999,43.049999,43.549999,43.549999,19383989
2024-08-30,43.750000,43.950001,43.549999,43.750000,43.750000,13831489
